gene_symbol,evidence_level,audit_status,model_species,evidence_endpoint,evidence_summary,primary_source,secondary_source,audit_note
ESR1,A,SUPPORTED,Human breast cancer cells / recombinant human ER,Direct receptor binding and ER-responsive transcriptional activity,Triclosan displaced estradiol from estrogen receptors in MCF7 cells and recombinant human ERα/ERβ and altered ER-responsive transcription/growth.,https://pubmed.ncbi.nlm.nih.gov/17992702/,https://pubmed.ncbi.nlm.nih.gov/18795164/,Direct receptor-level evidence; does not imply tumor exposure in patients.
AR,A,SUPPORTED,Human/mouse mammary cell assays and recombinant/rat AR,Direct AR ligand-binding / AR-responsive transcriptional modulation,Triclosan displaced testosterone from the AR ligand-binding domain and altered androgen-responsive transcription; additional assays show antiandrogenic/androgen-modulating activity.,https://pubmed.ncbi.nlm.nih.gov/17992702/,https://pubmed.ncbi.nlm.nih.gov/17481686/,Direct receptor-level evidence; direction depends on assay/context.
PGR,B,SUPPORTED,Pregnant rat placenta,Progesterone receptor transcript expression,Placental progesterone receptor (PR/PGR) mRNA was reported as up-regulated after triclosan exposure in pregnant rats.,https://pubmed.ncbi.nlm.nih.gov/27149376/,,Nonhuman in vivo evidence; no claim of direct ligand binding to human PGR.
THRA,B,SUPPORTED,Bullfrog tadpole / Xenopus cells,Thyroid hormone receptor alpha transcript modulation,Triclosan altered thyroid-hormone-receptor alpha transcript levels in anuran models; effects were tissue/context dependent.,https://pubmed.ncbi.nlm.nih.gov/17011055/,https://www.sciencedirect.com/science/article/abs/pii/S0166445X06003407,Nonhuman endocrine-disruption evidence; not a human tumor target claim.
THRB,B,SUPPORTED,Bullfrog tadpole / Xenopus cells,TRβ transcript modulation,Triclosan altered T3-mediated TRβ mRNA expression in tadpole tail fin and altered thyroid-hormone-receptor mRNA expression in Xenopus cells.,https://pubmed.ncbi.nlm.nih.gov/17011055/,,Nonhuman endocrine-disruption evidence; tissue and treatment context affect direction.
CAT,B,SUPPORTED,Zebrafish / purified catalase,CAT gene/enzyme modulation and triclosan-catalase interaction,"Triclosan altered catalase-related antioxidant responses, including CAT transcript changes in zebrafish; a separate biophysical study characterized direct triclosan-catalase interaction.",https://pubmed.ncbi.nlm.nih.gov/31839624/,https://pubs.rsc.org/en/content/articlelanding/2017/ra/c6ra26431j,Predominantly nonhuman/biophysical evidence.
BCL2,A,SUPPORTED,Human placental syncytiotrophoblasts / human lymphoma cells,BCL2 protein/expression modulation,Triclosan decreased anti-apoptotic BCL2 in human placental syncytiotrophoblasts and in other mammalian cell models; BJAB lymphoma cells also showed BCL2 down-regulation.,https://academic.oup.com/jcem/article/100/4/E542/2815151,https://pubmed.ncbi.nlm.nih.gov/33387145/,Direct human cell evidence; direction can be context dependent across models.
BAX,A,SUPPORTED,Human placental syncytiotrophoblasts / human HepG2 and other mammalian models,BAX protein/expression modulation,"Triclosan altered pro-apoptotic BAX in human placental cells and HepG2 cells, with direction varying by dose/model; multiple animal/cell studies support BAX involvement.",https://academic.oup.com/jcem/article/100/4/E542/2815151,https://pmc.ncbi.nlm.nih.gov/articles/PMC6334501/,Direct human cell evidence but direction is context dependent.
PARP1,B,SUPPORTED,Porcine cumulus-oocyte complexes,Cleaved PARP1 protein during triclosan-induced apoptosis,Triclosan exposure increased cleaved PARP1 in porcine oocyte/cumulus complexes during mitochondrial apoptosis.,https://pmc.ncbi.nlm.nih.gov/articles/PMC7246582/,,Protein cleavage/pathway evidence; not proof of PARP1 transcriptional regulation.
IL6,A,SUPPORTED,Human immune cells / human placental cells,IL6 mRNA and cytokine production,Triclosan increased IL6 mRNA and IL-6 production/secretion in human immune cells; placental-cell studies also report IL6 induction under triclosan exposure.,https://pubmed.ncbi.nlm.nih.gov/38055018/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8750171/,Strong human cell evidence; inflammatory context.
ABCB1,A,SUPPORTED,Human hepatocellular carcinoma cells,ABCB1/MDR1 mRNA expression,ABCB1 was directly measured in a qPCR drug-resistance panel after triclosan treatment of human MHCC97-H cells. The study reported induction of ABC/drug-resistance genes as a group; the accessible text does not provide a separate ABCB1 effect size.,https://pubmed.ncbi.nlm.nih.gov/29849464/,,Direct human cancer-cell measurement; supports inclusion in a triclosan-responsive drug-resistance panel but avoids overclaiming a gene-specific magnitude.
ABCG2,A,SUPPORTED,Human hepatocellular carcinoma cells,ABCG2/BCRP mRNA expression,ABCG2 was directly measured in a qPCR drug-resistance panel after triclosan treatment of human MHCC97-H cells. The study reported induction of ABC/drug-resistance genes as a group; the accessible text does not provide a separate ABCG2 effect size.,https://pubmed.ncbi.nlm.nih.gov/29849464/,,Direct human cancer-cell measurement; supports inclusion in a triclosan-responsive drug-resistance panel but avoids overclaiming a gene-specific magnitude.
FASN,A,SUPPORTED,Human HepG2 cells,"FASN enzyme activity, mRNA and protein",Triclosan directly inhibited FASN activity and decreased FASN mRNA and protein in human HepG2 cells.,https://pubmed.ncbi.nlm.nih.gov/34144025/,https://www.sciencedirect.com/science/article/abs/pii/S0014299921004143,Strong direct human cell evidence.
SCD,B,SUPPORTED,Neonatal mouse liver,Scd1 transcript expression,Lactational triclosan exposure increased hepatic Scd1 mRNA in neonatal mice; the study also confirmed increased SCD1 protein.,https://www.nature.com/articles/s41467-022-31947-4,,Direct nonhuman in vivo transcript and protein evidence.
TWIST1,D,NOT_INDEPENDENTLY_RECOVERED,,No gene-specific triclosan evidence recovered in targeted audit,No independently recoverable experimental triclosan-TWIST1 evidence was identified in the targeted literature/database audit.,,,Retained unchanged in the locked 24-gene panel; audit is non-reselective and does not remove genes post hoc.
PPARG,A,SUPPORTED,Human placental cell lines; mouse adipocytes,PPARG expression/pathway dependence,"Triclosan down-regulated PPARG and PPARG-regulated genes in human placental cells, with rescue by PPARG activation; newer adipocyte work also implicates PPARγ-dependent triclosan effects.",https://pubmed.ncbi.nlm.nih.gov/35011648/,https://pubmed.ncbi.nlm.nih.gov/40712680/,Direct human cell pathway evidence.
EGFR,B,SUPPORTED,Mouse 4T1 triple-negative breast cancer cells,EGFR expression downstream of GPER signaling,Triclosan up-regulated EGFR in 4T1 breast cancer cells through a GPER-mediated signaling pathway in a TNBC-focused study.,https://pubmed.ncbi.nlm.nih.gov/38679099/,,Direct breast-cancer experimental evidence but nonhuman cell line.
MMP9,A,SUPPORTED,Human placental cells; mouse 4T1 breast cancer cells,MMP9 expression,Triclosan altered MMP9 expression in human placental cells and up-regulated MMP-2/9 in 4T1 breast cancer cells via GPER signaling; direction depends on model.,https://pubmed.ncbi.nlm.nih.gov/35011648/,https://pubmed.ncbi.nlm.nih.gov/38679099/,Direct experimental evidence with context-dependent direction.
JUN,A,SUPPORTED,Human trophoblast / gingival fibroblast cells,c-Jun production and JNK/c-Jun pathway modulation,Triclosan modulated c-Jun production/signaling in human trophoblast cells and inhibited JNK phosphorylation/c-Jun production in human gingival fibroblasts.,https://pmc.ncbi.nlm.nih.gov/articles/PMC9172191/,https://pubmed.ncbi.nlm.nih.gov/19874453/,Direct human cell evidence; direction varies by context.
FOS,B,SUPPORTED,Rat osteoblast-like cells,c-fos mRNA / AP-1-related response,Triclosan up-regulated c-fos mRNA in hormone-stimulated osteoblast-like cells and altered AP-1-related transcriptional behavior.,https://pmc.ncbi.nlm.nih.gov/articles/PMC4482346/,,Nonhuman cell evidence; c-Fos protein itself was not reduced in that study.
ADRB2,D,NOT_INDEPENDENTLY_RECOVERED,,No gene-specific triclosan evidence recovered in targeted audit,No independently recoverable experimental triclosan-ADRB2 evidence was identified in the targeted literature/database audit.,,,Retained unchanged in the locked panel; no post hoc deletion.
ERG,D,NOT_INDEPENDENTLY_RECOVERED,,No gene-specific triclosan evidence recovered in targeted audit,No independently recoverable experimental triclosan-ERG evidence was identified in the targeted literature/database audit.,,,Retained unchanged in the locked panel; no post hoc deletion.
