effect_set,variance_method,pooling_method,cohort_number,total_sample_number,pooled_fisher_z,standard_error,inference_distribution,inference_df,pooled_rho,confidence_interval_lower_rho,confidence_interval_upper_rho,two_sided_p,Cochran_Q,Q_df,Q_p,I2_percent,tau2,modified_KH_residual_scale,all_external_directions_positive
FULL_EMT,EMPIRICAL_BOOTSTRAP_FISHER_Z,FIXED_INVERSE_VARIANCE_NORMAL,2,686,0.4412594428676027,0.0379289978111966,NORMAL,,0.41468784808208936,0.351294712211265,0.47429610660459326,2.7737324934401846e-31,0.28254088444480796,1,0.5950406467729054,0,0,,True
FULL_EMT,EMPIRICAL_BOOTSTRAP_FISHER_Z,RANDOM_DL_NORMAL,2,686,0.4412594428676027,0.0379289978111966,NORMAL,,0.41468784808208936,0.351294712211265,0.47429610660459326,2.7737324934401846e-31,0.28254088444480796,1,0.5950406467729054,0,0,,True
FULL_EMT,EMPIRICAL_BOOTSTRAP_FISHER_Z,RANDOM_DL_MODIFIED_KH,2,686,0.4412594428676027,0.0379289978111966,T,1,0.41468784808208936,-0.04065175330718207,0.7274044643301075,0.054587260092335346,0.28254088444480796,1,0.5950406467729054,0,0,1,True
FULL_EMT,CONVENTIONAL_1_OVER_N_MINUS_3,FIXED_INVERSE_VARIANCE_NORMAL,2,686,0.44224658464814925,0.038348249442368414,NORMAL,,0.4155049002976273,0.3514397128648808,0.47569684788578903,9.060379170979259e-31,0.25213280225524026,1,0.6155772935929169,0,0,,True
FULL_EMT,CONVENTIONAL_1_OVER_N_MINUS_3,RANDOM_DL_NORMAL,2,686,0.44224658464814925,0.038348249442368414,NORMAL,,0.4155049002976273,0.3514397128648808,0.47569684788578903,9.060379170979259e-31,0.25213280225524026,1,0.6155772935929169,0,0,,True
FULL_EMT,CONVENTIONAL_1_OVER_N_MINUS_3,RANDOM_DL_MODIFIED_KH,2,686,0.44224658464814925,0.038348249442368414,T,1,0.4155049002976273,-0.04498374505251272,0.7303640975058664,0.05506507276628182,0.25213280225524026,1,0.6155772935929169,0,0,1,True
NO_OVERLAP_EMT,EMPIRICAL_BOOTSTRAP_FISHER_Z,FIXED_INVERSE_VARIANCE_NORMAL,2,686,0.43447410980797263,0.03814167363292097,NORMAL,,0.4090535945170895,0.3449654432677568,0.46934535991846765,4.633163559066557e-30,0.33975733300245603,1,0.5599693273975508,0,0,,True
NO_OVERLAP_EMT,EMPIRICAL_BOOTSTRAP_FISHER_Z,RANDOM_DL_NORMAL,2,686,0.43447410980797263,0.03814167363292097,NORMAL,,0.4090535945170895,0.3449654432677568,0.46934535991846765,4.633163559066557e-30,0.33975733300245603,1,0.5599693273975508,0,0,,True
NO_OVERLAP_EMT,EMPIRICAL_BOOTSTRAP_FISHER_Z,RANDOM_DL_MODIFIED_KH,2,686,0.43447410980797263,0.03814167363292097,T,1,0.4090535945170895,-0.05011977416643122,0.7254761192094855,0.05574475455213187,0.33975733300245603,1,0.5599693273975508,0,0,1,True
NO_OVERLAP_EMT,CONVENTIONAL_1_OVER_N_MINUS_3,FIXED_INVERSE_VARIANCE_NORMAL,2,686,0.43566692890237513,0.038348249442368414,NORMAL,,0.4100463404852376,0.3456594269118336,0.47059017614151744,6.553899806013098e-30,0.30400074982725117,1,0.5813851127870087,0,0,,True
NO_OVERLAP_EMT,CONVENTIONAL_1_OVER_N_MINUS_3,RANDOM_DL_NORMAL,2,686,0.43566692890237513,0.038348249442368414,NORMAL,,0.4100463404852376,0.3456594269118336,0.47059017614151744,6.553899806013098e-30,0.30400074982725117,1,0.5813851127870087,0,0,,True
NO_OVERLAP_EMT,CONVENTIONAL_1_OVER_N_MINUS_3,RANDOM_DL_MODIFIED_KH,2,686,0.43566692890237513,0.038348249442368414,T,1,0.4100463404852376,-0.05154804900597068,0.7272794599588177,0.055892457123270525,0.30400074982725117,1,0.5813851127870087,0,0,1,True
