"gene","source"
"ESR1","multi-database+pug"
"ESR2","multi-database+pug"
"AR","multi-database+pug"
"PGR","multi-database+pug"
"THRA","multi-database+pug"
"THRB","multi-database+pug"
"CYP1A1","multi-database+pug"
"CYP1A2","multi-database+pug"
"CYP1B1","multi-database+pug"
"CYP3A4","multi-database+pug"
"CYP19A1","multi-database+pug"
"SULT1A1","multi-database+pug"
"SULT1E1","multi-database+pug"
"UGT1A1","multi-database+pug"
"UGT1A6","multi-database+pug"
"SOD2","multi-database+pug"
"CAT","multi-database+pug"
"GPX1","multi-database+pug"
"NFE2L2","multi-database+pug"
"KEAP1","multi-database+pug"
"TP53","multi-database+pug"
"BCL2","multi-database+pug"
"BAX","multi-database+pug"
"CASP3","multi-database+pug"
"PARP1","multi-database+pug"
"TNF","multi-database+pug"
"IL6","multi-database+pug"
"PTGS2","multi-database+pug"
"NFKB1","multi-database+pug"
"ABCB1","multi-database+pug"
"ABCG2","multi-database+pug"
"SLCO1B1","multi-database+pug"
"FASN","multi-database+pug"
"SCD","multi-database+pug"
"SREBF1","multi-database+pug"
"CDH1","multi-database+pug"
"VIM","multi-database+pug"
"SNAI1","multi-database+pug"
"TWIST1","multi-database+pug"
"AHR","multi-database+pug"
"PPARA","multi-database+pug"
"PPARG","multi-database+pug"
"NR1I2","multi-database+pug"
"NR1I3","multi-database+pug"
"MAPK1","multi-database+pug"
"MAPK3","multi-database+pug"
"AKT1","multi-database+pug"
"PIK3CA","multi-database+pug"
"MTOR","multi-database+pug"
"EGFR","multi-database+pug"
"CCND1","multi-database+pug"
"MYC","multi-database+pug"
"ERBB2","multi-database+pug"
"HIF1A","multi-database+pug"
"VEGFA","multi-database+pug"
"MMP9","multi-database+pug"
"TGFB1","multi-database+pug"
"STAT3","multi-database+pug"
"JUN","multi-database+pug"
"FOS","multi-database+pug"
"RELA","multi-database+pug"
"SP1","multi-database+pug"
"CTNNB1","multi-database+pug"
"CDKN1A","multi-database+pug"
"HTS","multi-database+pug"
"IC50","multi-database+pug"
"AC50","multi-database+pug"
"ATCC","multi-database+pug"
"HEK293","multi-database+pug"
"AMP","multi-database+pug"
"G2","multi-database+pug"
"ER","multi-database+pug"
"P9WGR1","multi-database+pug"
"LASV","multi-database+pug"
"LCMV","multi-database+pug"
